session_id,total_distance,average_speed,max_speed,min_speed,std_speed,total_duration,movement_count,pause_count,click_count,mousedown_count,mouseup_count,click_type_mousedown,click_type_mouseup,click_type_click
unknown,1191.2418447326581,0.867960479291418,4.308597665230586,0.0029239766081871343,1.0914518989860824,5680,54,53,5,2,2,2.0,2.0,1.0
unknown,1049.1250394021856,0.6590614273128035,3.5200319600821808,0.0,0.7632012057468495,4747,73,72,2,1,1,1.0,1.0,0.0
unknown,946.6521628619549,0.6101144847770079,2.728609994117884,0.002386634844868735,0.6979328442991576,5399,72,71,2,1,1,1.0,1.0,0.0
unknown,1774.9978948571938,0.8261509034808289,2.7676987281855663,0.0,0.6676658958839249,5865,109,108,2,1,1,1.0,1.0,0.0
unknown,1328.4435951237635,0.7201473096172133,5.5428022019552525,0.003618232973300631,0.9628173746247535,4199,87,85,2,1,1,1.0,1.0,0.0
unknown,1830.8927915945912,0.6107994753518551,2.756384633899993,0.01159155204281533,0.5441361300922916,5705,131,130,2,1,1,1.0,1.0,0.0
unknown,1871.594339925584,1.2094985245789251,10.237998290512643,0.0,1.5424361755617664,6512,90,86,2,1,1,1.0,1.0,0.0
unknown,1435.33220306258,0.846535168780304,3.1850480765602267,0.0,0.7626411082858362,4682,90,89,2,1,1,1.0,1.0,0.0
unknown,1720.7085814922666,0.8599896718884001,5.761403615986089,0.003094559217446598,1.1896574839941538,4332,99,95,2,1,1,1.0,1.0,0.0
unknown,2133.1102972851536,1.1935385354083259,5.720372037726218,0.0033333333333333335,1.1591410987483963,4328,99,96,2,1,1,1.0,1.0,0.0
unknown,793.9960202664,0.5427360830419437,3.460603783548877,0.0017452006980802793,0.8469933653649114,5140,58,57,5,2,2,2.0,2.0,1.0
unknown,805.6209396503056,1.4798290086797181,7.738903346082053,0.0016420361247947454,2.04089062959456,3148,57,50,2,1,1,1.0,1.0,0.0
unknown,1415.4572159991499,0.9235093571130774,7.233818148115144,0.001004016064257028,1.0260917782832686,4926,106,103,2,1,1,1.0,1.0,0.0
unknown,563.6025838876587,0.44369163421569296,2.432769480846629,0.0042985214661796205,0.5527605976116254,3906,71,70,2,1,1,1.0,1.0,0.0
unknown,676.4435648337173,1.2438511429828651,11.66785708212476,0.0036231884057971015,2.5160330886314823,3475,49,43,2,1,1,1.0,1.0,0.0
unknown,650.7877800036711,1.6155871592565185,9.417742699342577,0.0021397779688993204,2.3231906147605095,3418,42,37,2,1,1,1.0,1.0,0.0
unknown,318.7744495853855,0.40899608116674724,1.3695764472896044,0.0030303030303030303,0.4303123450210811,2082,39,38,2,1,1,1.0,1.0,0.0
unknown,1570.906486694855,0.8054365351608614,3.0539369037759925,0.004329004329004329,0.6193015768331113,4470,132,131,2,1,1,1.0,1.0,0.0
unknown,853.0229083342161,0.6707829464441409,2.9633173977824243,0.009753196981883415,0.4680175740580555,2031,69,67,2,1,1,1.0,1.0,0.0
unknown,569.2675920373147,1.779726529198499,11.005453193758083,0.0019047619047619048,2.5878164145684637,2766,37,31,2,1,1,1.0,1.0,0.0
unknown,1889.4413722417803,0.7861321680725804,4.3125,0.0,0.8999363769367335,8083,123,122,2,1,1,1.0,1.0,0.0
unknown,1531.1702289146479,0.6588204896176061,3.2401033773930377,0.0,0.641802323618322,5623,109,108,7,3,3,3.0,3.0,1.0
unknown,338.61414960791757,0.3046361006487538,2.1119203612960282,0.003424657534246575,0.4813773934915164,3842,41,40,2,1,1,1.0,1.0,0.0
unknown,613.9042322351978,0.36093405949846813,2.0242668425877057,0.004308416141618092,0.42160082727264636,4271,63,62,2,1,1,1.0,1.0,0.0
unknown,1346.2439040622928,1.5768373110324598,9.907124260405292,0.005434782608695652,2.1836334031432214,4115,49,44,2,1,1,1.0,1.0,0.0
unknown,1475.764689944681,1.1473021298385966,8.801541230243807,0.001483679525222552,1.5245764006588283,3822,70,67,2,1,1,1.0,1.0,0.0
unknown,1227.7109745291991,1.109646589451675,4.701468518279549,0.0049504950495049506,1.302517753414308,4500,60,59,7,3,3,3.0,3.0,1.0
unknown,2012.8888087791836,0.6801622968805575,4.190763653560053,0.0,0.8079293585053278,8430,140,139,19,7,7,7.0,7.0,5.0
unknown,1148.3690357163007,1.0353818084429898,3.400367627183861,0.0016420361247947454,0.7807229842013659,2843,60,59,2,1,1,1.0,1.0,0.0
unknown,554.7610915679279,0.3132743987903012,1.5260143260085701,0.0,0.35651823260155696,4615,62,61,13,5,5,5.0,5.0,3.0
unknown,1770.2859099654802,1.2732218316048007,9.279128311550725,0.0,1.9188877435673792,5613,75,70,7,3,3,3.0,3.0,1.0
unknown,1106.1025239474286,0.832410956320472,2.6195843605851334,0.0,0.7018533206936199,2841,68,67,2,1,1,1.0,1.0,0.0
unknown,1376.4336717682359,1.2656214412667253,8.378278794332136,0.003745318352059925,2.050910628298572,3012,56,50,5,2,2,2.0,2.0,1.0
unknown,930.588977246768,0.7231249643633842,3.0361148001326916,0.002717391304347826,0.6662906896128675,3381,63,62,2,1,1,1.0,1.0,0.0
unknown,1166.766296765892,1.6070962627099454,8.181758763895953,0.006993006993006993,2.1084891284473413,2004,40,34,2,1,1,1.0,1.0,0.0
unknown,802.0563337499185,0.7624876216933245,2.6574957642532984,0.0006734006734006734,0.7826375926519864,4496,54,53,2,1,1,1.0,1.0,0.0
unknown,1331.0738174071505,0.8811295384151223,6.188783245702158,0.0023148148148148147,1.3404767447064319,4631,75,72,2,1,1,1.0,1.0,0.0
unknown,1888.0115355210319,0.7375712194545608,4.689166370475673,0.0,0.9036496399848142,6576,123,122,13,5,5,5.0,5.0,3.0
